;;;;;;;;;;;;;x
DIM_DJA_said_mohamad_desc;A noble of one of the suku has been arrested by Dutch! Accusing him of murder! Not only is this a clear violation of our treaty, they have also breached the adat. It is the royal prerogative to punish any nobles, and the Dutch actions are a great offence to us and our prestige. Understandably the nobles are up in arms about this, as it is also a violation of their rights and position. They are preparing to attack a Dutch post on the coast. The situation is starting to get out of control, and something has to be done. However, stopping them will damage our standing, and possibly turn them against us.;;;;;;;;;;;;;x
DIM_DJA_said_mohamad_NET_title;The Case of Said Mohamad;;;;;;;;;;;;;x
DIM_DJA_said_mohamad_NET_desc;The new colonial administrator in Djambi has taken it onto himself to arrest a noble of one of the suku on charges of murder. The arrest, even if it were justified, can only be considered extremely tactless. Our treaty with the sultan is limited to foreign trade and matters of succession. Internal matters are strictly off-limits. Worse still the local adat reserves the right to punish nobles exclusively to the sultan. Outraged by the perceived attack on their custom and position, the Djambian nobles have now taken up arms against us and attack one of our posts. While the post held, this attack on our authority requires a responds!;;;;;;;;;;;;;x
DIM_DJA_replace_sultan_NET_title;Replace the Sultan of Djambi;;;;;;;;;;;;;x
DIM_DJA_replace_sultan_NET_desc;Our contract with the Sultan of Djambi gives us full control of foreign trade, while he maintains full sovereignty over internal matters. However, such is the poverty of the sultanate, that only the salt monopoly is profitable to us. Recent unrest in sultanate, caused by the weak position of the sultan vis-a-vis the suku (noble families), has turned to near open rebellion. The sultan is either unwilling or unable to quell the opposition, and to secure our position in the sultanate, we may need to turn to somebody else. Both the pangeran ratu (crown prince) and the suku Kraton have significant power-bases, and might provide a more stable sultan. Shall we replace the Sultan with either of these?;;;;;;;;;;;;;x
DIM_DJA_support_padri_title;Support the Padris;;;;;;;;;;;;;x
DIM_DJA_support_padri_desc;For the past decade the Padris have been fighting an insurrection against the Dutch. Originally the war started as an insurrection of the fundamentalist Padris who rebelled against the 'un-Islamic' adats (customs) of the Minangkabau people. When the Minangkabau Sultan turned to the Dutch for assistance, the rebellion took on the character of a popular revolt against the Dutch. We can offer to support the Padris in exhange for our ancestral claim on Siguntur;;;;;;;;;;;;;x
DIM_DJA_surrender_decision_title;Sue for peace with the Dutch;;;;;;;;;;;;;x
DIM_DJA_surrender_decision_desc;The war with the Dutch is not going well. The blockade of the coast is leading to a shortage of salt, and discontentment among the population. What is worse, our enemies at court are abusing this discontentment to plot against us, and our unreliable vassals are refusing to supply our forces with rice. Perhaps it is best to enter into a treaty with the Dutch, surrendering some of our rights in exchange for the resources to fend of the rebelling nobles?;;;;;;;;;;;;;x
DIM_DJA_flee_highlands_title;Flee to the highlands;;;;;;;;;;;;;x
DIM_DJA_flee_highlands_desc;The war is not going well, not well at all. The coast is difficult to hold, but the interiour mountain ranges will surely allow us to continue our resistance. We should withdraw to the mountains. Our will surely not follow us into the rugged interiour.;;;;;;;;;;;;;x
DIM_NET_djambi_fractures_title;Djambi Sultanate fractures;;;;;;;;;;;;;x
DIM_NET_djambi_fractures_desc;While we've been able to compel the Djambian sultan to accept our suzerainty, not all factions at court have always accepted this. One of the leaders has now broken with the Djambian sultan, and taken to the highlands to 're-establish the true Djambi Sultanate.' Taking the most important Djambian pusaka (heirlooms) with him, he has convinced a large part of the population to support him over our sultan. The highlands are virtually unknown to us, and pursuing him there will be a long and hard process. We might satisfy us with just controlling the capital and coastal regions, or sent an expedition into the highlands.;;;;;;;;;;;;;x
DIM_DJA_flee_highlands_NET_title;Sultan of Djambi flees;;;;;;;;;;;;;x
DIM_DJA_flee_highlands_NET_desc;The Sultan of Djambi, realising he could not resist our superior strength, has fled into the highlands. He has taken his whole court and all pusaka (heirlooms) with him, and it would seem he plans on establishing a new sultanate there. These lands are virtually unknown to us, and pursuing him there will be a long and hard process. We might satisfy us with just controlling the capital and coastal regions, or sent an expedition into the highlands.;;;;;;;;;;;;;x
DIM_DJA_new_sultan_NET_title;The new Sultan of Djambi;;;;;;;;;;;;;x
DIM_DJA_new_sultan_NET_desc;The old Sultan of Djambi has passed away, and a new one is ready to ascend to the throne. By treaty, any new sultan has to be confirmed by us. Such a change of guard always creates opportunities to strengthen our hold on the sultanate. Until now we may have been content with a hands off approach to the Outer Islands, however, James Brooke of Sarawak and those like him have proven this to be a vulnerable arrangement. This change of guard might be a good opportunity to strengthen our rule in the Sultanate, and reduce the risk of adventures.;;;;;;;;;;;;;x
DIM_DJA_sultan_killed_NET_title;Sultan of Djambi Killed!;;;;;;;;;;;;;x
DIM_DJA_sultan_killed_NET_desc;Ever since we integrated the Sultanate of Djambi into our country, the old sultan has been nothing but trouble. Raiding our posts, setting the populace against us. And using his intimate knowledges of the interiour forests and mountain ranges to stay one step ahead of our forces. Until one of our patrols finally managed to catch up to him today. Determined not to be taken alive, he fought valiantly to the end. With him out of the way, the whole sultanate naturally reverts back to the sultan under our control.;;;;;;;;;;;;;x
DIM_NET_control_bangkoe_title;Bangkoe Submits to us;;;;;;;;;;;;;x
DIM_NET_control_bangkoe_desc;Using guile, diplomacy and the occasional threat, we have managed to convince a number of local Heads in the Djambi sultanate to acknowledge our sultan as the one true sultan of Djambi. They do not only bring their own households to our cause, but also the lands and population they rule. This has severely weakend the pretender sultan of Djambi, and further tightend the noose around him.;;;;;;;;;;;;;x
DIM_DJA_control_bangkoe_title;Bangkoe rebels;;;;;;;;;;;;;x
DIM_DJA_control_bangkoe_desc;Using guile, diplomacy and the occasional threat, the pretender sultan of Djambi has managed to convince a number of local Heads in the area to acknowledge him sultan as the one true sultan of Djambi. They have not only turned their households to his cause, but also the lands and population they rule. This is a blow to our prestige and control of the region!;;;;;;;;;;;;;x
DIM_RIA_unrest_in_IDG_title;The Sultan of Indragiri;;;;;;;;;;;;;x
DIM_RIA_unrest_in_IDG_desc;Our subject the Sultan of Indragiri has come into conflict with our representative at his court. It is unclear what exactly transpired, but it would appear it gave the Sultan sufficient reason to try and break with us. He has sent embassies to all nearby courts apparently seeking for help against us.;;;;;;;;;;;;;x 
DIM_IDG_unrest_title;Unrest in Indragiri;;;;;;;;;;;;;x
DIM_IDG_unrest_desc;We've come into conflict with the representative of the court of Riau-Lingga, to secure out position we need help from an outside power. But which power?;;;;;;;;;;;;;x
DIM_IDG_unrest_NET_desc;The Sultan of Indragiri has come into conflict with his representative of the court of Riau-Lingga. As the Sultan of Lingga is our vassal, it is only natural we have been approached to mediate in the dispute. While the exact nature of the dispute remains a bit murky, it is clear the Sultan of Indragiri wants more autonomy, more than the Sultan of Lingga is willing to grant. As the Sultan of Lingga is completely reliant on us for his power, it should not be difficult to create an arrangement favourable to us.;;;;;;;;;;;;;x
DIM_IDG_returns_to_RIA_title;Indragiri returns to our fold!;;;;;;;;;;;;;x
DIM_IDG_returns_to_RIA_desc;The Dutch have successfully managed to force the Sultan of Indragiri to back down, and he has now returned to our fold. His rebellious tendencies will surely be over now.;;;;;;;;;;;;;x
DIM_IDG_unrest_ENG_desc;The Sultan of Indragiri has come into conflict with his representative of the court of Riau-Lingga. The exact reasons for this conflict remains a bit murky, it would seem the Sultan of Indragiri wants more autonomy than Sultan of Lingga is willing to grant. The battle lines are being drawn, and the situation turning to open conflict. The Sultan of Indragiri has now turned to us for help, hoping we van force the Sultan of Lingga to back down.\nAchieving this would not be difficult. However, the Sultan of Lingga is a Dutch vassal, and they will not take kindly to us meddling in their affairs. Furthermore we relinquished our claims to, and the right to establish outposts on, Sumatra to the Dutch by our treaty of 1824. By intervening we would be violating this treaty, and the world might not look kindly on this.;;;;;;;;;;;;;x
